LanguageData,AvgRank
Java-BitSet,1.66666666666667
Haskell-Sequence,1.76923076923077
clojure-BitVector,3.41666666666667
clojure-persistentvector,3.58333333333333
CSharp-BitVector,4.83333333333333
C-BitString,6.23076923076923
JRuby-BitVector,8.25
node-BitString,9.15384615384615
Pascal-BitVector,9.45454545454546
Octave-BitVector,9.5
Dart-List,10.6363636363636
Ruby-BitVector,11.8333333333333
Kotlin-BitVector,13.0909090909091
Rust-BitVector,14.3
Go-Vector,14.8333333333333
clisp-BitVector,15.0909090909091
Scala-BitString,15.9230769230769
Go-BitVector,16
perlsimple-BitString,18.3333333333333
perl5.20-BitString,19.75
perl5.22-BitString,20
C++-BitString,21.4615384615385
julia-BitString,21.8333333333333
Python_DEAP-List,22.25
PHP-BitString,24
Python_DEAP_numpy-BitVector,25.75
lua-BitString,26.5454545454545
perl6-BitVector,27.7272727272727
Python-BitString,28.3636363636364
