Language, Ratio
PHP-BitString, 0.224958451613552
Python-BitString, 0.0763518578417149
Go-BitVector, 1.31629535197653
lua-BitString, 0.0706678355266257
Go-Vector, 1.45118181244414
Java-BitSet, 1098730.11467646
Pascal-BitVector, 3.93786760231921
Dart-List, 3.58657818302176
JRuby-BitVector, 4.7016491238461
node-BitString, 3.86426091882119
Octave-BitVector, 94.3337649117675
C++-BitString, 0.299573909938808
julia-BitString, 1
Python_DEAP-List, 0.401136419605546
Python_DEAP_numpy-BitVector, 0.153336693838522
Ruby-BitVector, 3.10649560190549
Haskell-Sequence, 11449.2585579984
clojure-BitVector, 87018.9181738071
Kotlin-BitVector, 2.62650635933918
perlsimple-BitString, 0.83138472693526
CSharp-BitVector, 12.4022074296082
clisp-BitVector, 0.101180643171539
clojure-persistentvector, 89509.9966214411
C-BitString, 7.79499674078201
Scala-BitVector, 1.29474820415132
perl6-BitVector, 0.0862892784934791
lua-BitString, 0.769391556136469
Go-Vector, 5.27462271841094
node-BitString, 13.8363235311465
Octave-BitVector, 10.0946687922058
JRuby-BitVector, 25.0040797087555
Dart-List, 13.3255385366304
Java-BitSet, 4373.56607865087
Pascal-BitVector, 14.1286765827852
Python-BitString, 0.306059804938967
PHP-BitString, 0.821393421363845
Go-BitVector, 4.94187112563425
Rust-BitVector, 5.45511124682457
clojure-persistentvector, 1548.19741580255
C-BitString, 28.1933377046645
Kotlin-BitVector, 9.94739211973757
perlsimple-BitString, 2.7313091396423
clisp-BitVector, 19.5274391794592
CSharp-BitVector, 165.184037733896
Haskell-Sequence, 39375.0003126801
clojure-BitVector, 2497.46031781731
Ruby-BitVector, 10.8727356664322
perl6-BitVector, 0.321438876371278
Scala-BitVector, 4.61828661217811
julia-BitString, 1
C++-BitString, 1.0828231593183
Python_DEAP_numpy-BitVector, 0.516169500461501
Python_DEAP-List, 1.31499706769603
perl6-BitVector, 0.145425753806453
Scala-BitVector, 1.91864464936717
C-BitString, 11.552631157748
clojure-persistentvector, 6754.68188019565
Rust-BitVector, 2.24263418669346
Kotlin-BitVector, 3.93700243481577
perlsimple-BitString, 1.20231210898529
CSharp-BitVector, 68.8594865332426
clisp-BitVector, 1.93448156454931
clojure-BitVector, 7490.48644985134
Haskell-Sequence, 20502.4176455559
Ruby-BitVector, 4.55260239820767
Python_DEAP_numpy-BitVector, 0.227231733170409
Python_DEAP-List, 0.597640253280975
julia-BitString, 1
C++-BitString, 0.445046013920712
Octave-BitVector, 28.1433323892325
node-BitString, 5.73690964950845
JRuby-BitVector, 9.99322656935791
Dart-List, 5.35140599090271
Java-BitSet, 13344.3929774135
Pascal-BitVector, 5.62694090126205
Go-Vector, 2.12147068794061
lua-BitString, 0.277775390839668
Go-BitVector, 1.97011744489357
Python-BitString, 0.125591651914956
PHP-BitString, 0.332557730613072
Python_DEAP-List, 0.954720864276746
Python_DEAP_numpy-BitVector, 0.364213905079458
C++-BitString, 0.730190799144929
julia-BitString, 1
Scala-BitVector, 3.14587741085588
perl6-BitVector, 0.223287651558229
Ruby-BitVector, 7.7580741094048
clojure-BitVector, 3483.81090606696
Haskell-Sequence, 22238.1395059866
clisp-BitVector, 9.05998276169823
perlsimple-BitString, 1.90905600544377
Kotlin-BitVector, 6.53844664637057
CSharp-BitVector, 116.865197522944
Rust-BitVector, 3.65854654037202
clojure-persistentvector, 3134.24075228
C-BitString, 18.9244993683376
Go-BitVector, 3.24006900557046
PHP-BitString, 0.548079719652491
Python-BitString, 0.202796215794731
Pascal-BitVector, 9.35309985104729
Java-BitSet, 5850.32249697109
Dart-List, 8.8280637424139
JRuby-BitVector, 15.3314815179094
Octave-BitVector, 12.5639702632308
node-BitString, 9.38507133870438
Go-Vector, 3.486243805136
lua-BitString, 0.488702924431071
Python_DEAP_numpy-BitVector, 0.166080075783597
Python_DEAP-List, 0.467481770191548
C++-BitString, 0.338378998801112
julia-BitString, 1
perl6-BitVector, 0.108426572484345
Scala-BitVector, 1.45584931943935
perlsimple-BitString, 0.936444493953266
CSharp-BitVector, 14.3670615294693
Kotlin-BitVector, 2.9552062962764
clisp-BitVector, 0.216284735984773
Rust-BitVector, 1.69157590495684
clojure-persistentvector, 8607.6042497794
C-BitString, 8.7619203117292
Ruby-BitVector, 3.49566432246895
clojure-BitVector, 7786.1440706359
Haskell-Sequence, 13685.7835240772
Go-BitVector, 1.47440592811894
PHP-BitString, 0.248336584236494
Python-BitString, 0.0938766933244912
JRuby-BitVector, 5.52291956444762
Octave-BitVector, 84.3451450601148
node-BitString, 4.35372622091914
Pascal-BitVector, 4.40178426438536
Java-BitSet, 85738.9550626236
Dart-List, 4.01624146845912
Go-Vector, 1.64219215837818
lua-BitString, 0.116041345344238
lua-BitString, 0.0436330229848736
Go-Vector, 1.50119310820337
node-BitString, 3.7814691899633
Octave-BitVector, 115.693912073804
JRuby-BitVector, 4.86443719497567
Java-BitSet, 38580739.2671335
PHP-BitString, 0.228098581519911
Go-BitVector, 1.38049818946193
C-BitString, 8.06205241016585
clojure-persistentvector, 159245.279614156
CSharp-BitVector, 12.5658829228604
perlsimple-BitString, 0.864024311441788
Haskell-Sequence, 15516.2048815169
clojure-BitVector, 177790.132908094
Ruby-BitVector, 3.19557645181098
Scala-BitVector, 1.31053995402438
julia-BitString, 1
C++-BitString, 0.314160643926259
Python_DEAP_numpy-BitVector, 0.162619920693092
Python_DEAP-List, 0.428103010279627
Python_DEAP-List, 0.700259742431327
