languagerepresentation,length,time
Java-BitSet, 16 , 0.006365081
Java-BitSet, 32 , 0.001434606
Java-BitSet, 64 , 0.001450037
Java-BitSet, 128 , 0.001361699
Java-BitSet, 256 , 0.001350813
Java-BitSet, 512 , 0.001240836
Java-BitSet, 1024 , 9.87883E-4
Java-BitSet, 2048 , 9.65223E-4
Java-BitSet, 4096 , 9.8046E-4
Java-BitSet, 8192 , 0.001253525
Java-BitSet, 16384 , 0.001028226
Java-BitSet, 32768 , 9.95842E-4
C-BitString, 16, 0.002878
C-BitString, 32, 0.002853
C-BitString, 64, 0.002882
C-BitString, 128, 0.001657
C-BitString, 256, 0.000968
C-BitString, 512, 0.000959
C-BitString, 1024, 0.000930
C-BitString, 2048, 0.000933
C-BitString, 4096, 0.000885
C-BitString, 8192, 0.000930
C-BitString, 16384, 0.000876
C-BitString, 32768, 0.000936
Go-BitVector, 16 ,  0.00372097
Go-BitVector, 32 ,  0.0037959300000000003
Go-BitVector, 64 ,  0.00476936
Go-BitVector, 128 ,  0.003938301
Go-BitVector, 256 ,  0.0038142650000000003
Go-BitVector, 512 ,  0.0037603560000000003
Go-BitVector, 1024 ,  0.004238658
Go-BitVector, 2048 ,  0.0038471150000000003
Go-BitVector, 4096 ,  0.003721521
Go-BitVector, 8192 ,  0.003886043
Go-BitVector, 16384 ,  0.003923997
Go-BitVector, 32768 ,  0.004102440000000001
Go-Vector, 16 ,  0.0037271220000000002
Go-Vector, 32 ,  0.0038227770000000003
Go-Vector, 64 ,  0.004008229
Go-Vector, 128 ,  0.0039830080000000006
Go-Vector, 256 ,  0.0037181820000000004
Go-Vector, 512 ,  0.003938859
Go-Vector, 1024 ,  0.003765375
Go-Vector, 2048 ,  0.003823135
Go-Vector, 4096 ,  0.0037910810000000004
Go-Vector, 8192 ,  0.0038453780000000004
Go-Vector, 16384 ,  0.0038178950000000004
Go-Vector, 32768 ,  0.003979671000000001
C++-BitString, 16, 0.03982
C++-BitString, 32, 0.034755
C++-BitString, 64, 0.03486
C++-BitString, 128, 0.034734
C++-BitString, 256, 0.034732
C++-BitString, 512, 0.034942
C++-BitString, 1024, 0.034801
C++-BitString, 2048, 0.034712
C++-BitString, 4096, 0.03469
