LanguageData,AvgRank
Java-BitSet,1.79166666666667
Go-BitVector,3.45833333333333
CSharp-BitVector,3.79166666666667
Go-Vector,4.70833333333333
Kotlin-BitVector,7.09090909090909
perl5.20-BitString,7.16666666666667
PHP-BitString,7.20833333333333
C-BitString,8.20833333333333
Pascal-BitVector,9.13636363636364
Dart-List,11.4545454545455
perlsimple-BitString,12.9166666666667
lua-BitString,13.0416666666667
JRuby-BitVector,13.1666666666667
node-BitString,13.9166666666667
Scala-BitVector,14
Python_DEAP_numpy-BitVector,14.4583333333333
Ruby-BitVector,14.6666666666667
Haskell-Sequence,15.9615384615385
julia-BitString,16.0833333333333
Python-BitString,16.1666666666667
C++-BitString,16.6666666666667
clisp-BitVector,17.625
Python_DEAP-List,17.75
clojure-BitVector,21.9583333333333
Scala-BitString,22.625
Octave-BitVector,22.8333333333333
