Language, Ratio
Kotlin-BitVector, 8.52021031983913
clisp-BitVector, 0.302594609651468
Java-BitSet, 638.972443108384
CSharp-BitVector, 467.200146842882
Dart-List, 0.723015965434153
Python_DEAP_numpy-BitVector, 1.92471892631332
perlsimple-BitString, 2.28698346438312
Ruby-BitVector, 0.99493199453564
clojure-BitVector, 0.0169246925989843
JRuby-BitVector, 1.83580510454983
lua-BitString, 2.55815298350528
C-BitString, 861.255840588641
julia-BitString, 1
Python-BitString, 0.202671405069426
Go-BitVector, 206.114016686752
PHP-BitString, 35.2507581083495
Octave-BitVector, 0.13142667841089
Haskell-Sequence, 2.68122575334225
Pascal-BitVector, 20.0241982936859
Scala-BitString, 0.0975238319114615
C++-BitString, 23.0913002492991
Go-Vector, 208.293679255313
Scala-BitVector, 75.9863351696424
node-BitString, 0.807819464654193
Python_DEAP-List, 0.39717293371183
Python-BitString, 0.18931180610783
Go-BitVector, 17.844321585377
Octave-BitVector, 0.010923639646962
PHP-BitString, 2.96698222606422
Haskell-Sequence, 0.285306718169225
Pascal-BitVector, 6.7101001739502
Scala-BitString, 0.123232990393717
C++-BitString, 1.92035377881924
Go-Vector, 17.0356445202791
Scala-BitVector, 13.3086710229935
node-BitString, 0.27911151396091
Python_DEAP-List, 0.290586194718001
Kotlin-BitVector, 7.76460945459605
clisp-BitVector, 0.404222902045192
Java-BitSet, 54.0772525454629
CSharp-BitVector, 38.735208531722
Dart-List, 0.9419535310728
Python_DEAP_numpy-BitVector, 0.439513736986736
perlsimple-BitString, 0.247478237138523
Ruby-BitVector, 0.755776793807773
clojure-BitVector, 0.0267335839876198
JRuby-BitVector, 1.24692499577416
C-BitString, 69.9697619807111
lua-BitString, 0.621616379851981
julia-BitString, 1
clojure-BitVector, 0.157529362768339
Ruby-BitVector, 0.470349476028401
JRuby-BitVector, 0.250763890845266
perlsimple-BitString, 0.0746634481250745
C-BitString, 6.96110382775361
lua-BitString, 0.272652789958554
julia-BitString, 1
clisp-BitVector, 1.80545720187101
Kotlin-BitVector, 7.5856561871634
CSharp-BitVector, 11.3928575152484
Python_DEAP_numpy-BitVector, 0.146849174588927
Dart-List, 2.60732955501918
Java-BitSet, 13.8435425619167
C++-BitString, 0.571429412187629
Go-Vector, 5.19518382070967
Scala-BitVector, 3.35322911108172
Scala-BitString, 0.318228589421823
Python_DEAP-List, 0.159286733508562
node-BitString, 0.0925777286690939
Go-BitVector, 5.23192714844084
Python-BitString, 0.159885594382123
Haskell-Sequence, 0.139302152099918
Pascal-BitVector, 1.98600292205811
Octave-BitVector, 0.00332503068375674
PHP-BitString, 0.892024158831471
clisp-BitVector, 2.87000338236491
Kotlin-BitVector, 2.57907009119285
Python_DEAP_numpy-BitVector, 0.127137564559445
Dart-List, 1.30732009521633
CSharp-BitVector, 9.05983074351
Java-BitSet, 2.70538902712934
JRuby-BitVector, 0.136395366312309
Ruby-BitVector, 0.441386590352573
clojure-BitVector, 0.190532971035531
perlsimple-BitString, 0.0629817173806273
julia-BitString, 1
lua-BitString, 0.244797286110961
C-BitString, 5.98332880270655
Go-BitVector, 4.62783099411967
Python-BitString, 0.151211980103525
Haskell-Sequence, 0.137672052240082
Pascal-BitVector, 1.72200202941895
Octave-BitVector, 0.00289430006665781
PHP-BitString, 0.784826357195622
Go-Vector, 4.62019228085087
Scala-BitVector, 1.04180414457208
C++-BitString, 0.432446516679795
Scala-BitString, 0.248753141431963
Python_DEAP-List, 0.143625841729759
node-BitString, 0.0816512045413296
Python-BitString, 0.221713001583363
Go-BitVector, 59.597347414202
Octave-BitVector, 0.0366884710578546
PHP-BitString, 10.0896109618936
Pascal-BitVector, 11.4638924598694
Haskell-Sequence, 0.817660932848993
Scala-BitString, 0.109607466727532
C++-BitString, 6.60514661204735
Go-Vector, 59.9711621999714
Scala-BitVector, 16.2400945117052
node-BitString, 0.715758876583265
Python_DEAP-List, 0.415761379593243
Kotlin-BitVector, 8.2470047566538
clisp-BitVector, 0.345818777069966
Java-BitSet, 237.538733740688
CSharp-BitVector, 131.285987859246
Dart-List, 0.825390682578678
Python_DEAP_numpy-BitVector, 1.12742594164841
perlsimple-BitString, 0.752409054712897
Ruby-BitVector, 1.02113428969752
clojure-BitVector, 0.0203544402132325
JRuby-BitVector, 2.40212192918317
lua-BitString, 1.42431603362896
C-BitString, 245.742603641359
julia-BitString, 1
clisp-BitVector, 1.48054686459628
Kotlin-BitVector, 11.4779648871298
Dart-List, 2.53972951431721
Python_DEAP_numpy-BitVector, 0.239171367466191
CSharp-BitVector, 17.2924352416215
Java-BitSet, 22.4628964785851
JRuby-BitVector, 1.02527938368031
Ruby-BitVector, 0.735269787707375
clojure-BitVector, 0.103764075597206
perlsimple-BitString, 0.122864178936419
julia-BitString, 1
C-BitString, 11.301884462567
lua-BitString, 0.40310422906474
Go-BitVector, 6.8294343520133
Python-BitString, 0.220255411515307
Haskell-Sequence, 0.205669163048274
Pascal-BitVector, 3.25720310211182
PHP-BitString, 1.5050400449473
Octave-BitVector, 0.00546409923492588
Go-Vector, 8.12628994528959
Scala-BitVector, 3.45302739331115
C++-BitString, 0.934366925448025
Scala-BitString, 0.36968212056597
Python_DEAP-List, 0.248871331696591
node-BitString, 0.151160982116442
JRuby-BitVector, 1.84281089132616
clojure-BitVector, 0.0151779518702735
Ruby-BitVector, 0.857482746078257
perlsimple-BitString, 3.54412278884144
julia-BitString, 1
lua-BitString, 2.95777140338555
C-BitString, 1685.88580606191
clisp-BitVector, 0.27068107883252
Kotlin-BitVector, 8.14614228280055
Python_DEAP_numpy-BitVector, 2.17296799204024
Dart-List, 0.663570245436034
CSharp-BitVector, 857.678126552198
Java-BitSet, 1436.29510060067
Go-Vector, 386.81942958364
Scala-BitVector, 121.809031720981
C++-BitString, 42.5736102542659
Scala-BitString, 0.0896012709327777
node-BitString, 0.729079112825035
Python_DEAP-List, 0.387513379778064
Go-BitVector, 376.360116001676
Python-BitString, 0.188258571096439
Haskell-Sequence, 3.8346726303537
Pascal-BitVector, 16.4092885123359
PHP-BitString, 67.196404938058
Octave-BitVector, 0.244095919378613
lua-BitString, 0.916029567688963
C-BitString, 127.821583901682
julia-BitString, 1
perlsimple-BitString, 0.401833738506247
Ruby-BitVector, 0.908862273538632
clojure-BitVector, 0.0244813916347981
JRuby-BitVector, 1.58490640864242
Java-BitSet, 120.332137539126
CSharp-BitVector, 68.8725799701996
Dart-List, 0.856466130353644
Python_DEAP_numpy-BitVector, 0.708680535522621
Kotlin-BitVector, 5.23021981563543
clisp-BitVector, 0.360224463722923
node-BitString, 0.456076302287223
Python_DEAP-List, 0.351866045745354
Scala-BitString, 0.111034086221387
C++-BitString, 3.41582348290464
Go-Vector, 31.570314518093
Scala-BitVector, 24.5512173943483
PHP-BitString, 5.34983583338708
Octave-BitVector, 0.0188853547207344
Haskell-Sequence, 0.446213947991278
Pascal-BitVector, 5.94370365142822
Python-BitString, 0.20500902482817
Go-BitVector, 28.0452145534187
Python_DEAP-List, 0.249895362424757
node-BitString, 0.189666916287334
Go-Vector, 11.7127172623206
Scala-BitVector, 8.89330094631421
C++-BitString, 1.25388732281037
Scala-BitString, 0.151439686005406
Haskell-Sequence, 0.216931157360213
Pascal-BitVector, 4.35500144958496
Octave-BitVector, 0.0069624078853519
PHP-BitString, 1.93272669558774
Go-BitVector, 11.4176688027312
Python-BitString, 0.182444353426013
julia-BitString, 1
C-BitString, 44.9896843965389
lua-BitString, 0.408111764446492
JRuby-BitVector, 1.06380584402949
Ruby-BitVector, 0.607421145440935
