LanguageData,AvgRank
Java-BitSet,1.83333333333333
CSharp-BitVector,2.75
C-BitString,6.40540540540541
Go-BitVector,6.86111111111111
Pascal-BitVector,7.54545454545455
Haskell-BitVector,9.15625
JRuby-BitVector,9.91666666666667
PHP-BitString,10.1388888888889
perl5.20-BitString,10.5
node-BitString,10.7027027027027
perlsimple-BitString,11.125
Rust-BitVector,11.3
Scala-BitVector,11.5416666666667
Ruby-BitVector,11.7777777777778
clisp-BitVector,14.2
clojure-BitVector,14.3333333333333
lua-BitString,14.6571428571429
julia-BitString,14.9444444444444
perl5.22-BitString,15.1666666666667
C++-BitString,15.1891891891892
Python_DEAP_numpy-BitVector,15.6666666666667
Python_DEAP-List,16.1111111111111
Python-BitString,16.304347826087
Octave-BitVector,16.4444444444444
Scala-BitString,17.027027027027
python-BitString,18.3333333333333
perl-BitString,21.8333333333333
perl-BitVector,22.9166666666667
