Language, Ratio
Ruby-BitVector, 0.857482746078257
Go-BitVector, 39.9451450888002
Python_DEAP-List, 0.387513379778064
C-BitString, 1685.88580606191
node-BitString, 0.729079112825035
Java-BitSet, 1436.29510060067
Kotlin-BitVector, 8.14614228280055
clojure-BitVector, 0.0151779518702735
Octave-BitVector, 0.244095919378613
Scala-BitVector, 121.809031720981
JRuby-BitVector, 1.84281089132616
Python_DEAP_numpy-BitVector, 2.17296799204024
perlsimple-BitString, 3.54412278884144
Dart-BitVector, 0.663570245436034
C++-BitString, 42.5736102542659
perl-BitString, 0.0196283363237007
lua-BitString, 2.95777140338555
Pascal-BitVector, 16.4092885123359
perl-BitVector, 0.0180744239374816
python-BitString, 0.188258571096439
CSharp-BitVector, 857.678126552198
PHP-BitString, 67.196404938058
Haskell-BitVector, 27.775215175758
clisp-BitVector, 0.27068107883252
julia-BitString, 1
Scala-BitString, 0.0896012709327777
Octave-BitVector, 0.010923639646962
Kotlin-BitVector, 7.76460945459605
clojure-BitVector, 0.0267335839876198
Scala-BitVector, 13.3086710229935
JRuby-BitVector, 1.24692499577416
Python_DEAP_numpy-BitVector, 0.439513736986736
Dart-BitVector, 0.9419535310728
C++-BitString, 1.92035377881924
perlsimple-BitString, 0.247478237138523
lua-BitString, 0.621616379851981
perl-BitString, 0.0283256266009975
Ruby-BitVector, 0.755776793807773
Go-BitVector, 7.4417351049687
Python_DEAP-List, 0.290586194718001
node-BitString, 0.27911151396091
C-BitString, 69.9697619807111
Java-BitSet, 54.0772525454629
Haskell-BitVector, 1.28837221572716
clisp-BitVector, 0.404222902045192
julia-BitString, 1
Scala-BitString, 0.123232990393717
Pascal-BitVector, 6.7101001739502
perl-BitVector, 0.0201275611607766
python-BitString, 0.18931180610783
CSharp-BitVector, 38.735208531722
PHP-BitString, 2.96698222606422
clisp-BitVector, 0.345818777069966
Haskell-BitVector, 4.4046153839741
julia-BitString, 1
Scala-BitString, 0.109607466727532
Pascal-BitVector, 11.4638924598694
perl-BitVector, 0.0213545781958461
python-BitString, 0.221713001583363
CSharp-BitVector, 131.285987859246
PHP-BitString, 10.0896109618936
clojure-BitVector, 0.0203544402132325
Kotlin-BitVector, 8.2470047566538
Octave-BitVector, 0.0366884710578546
Scala-BitVector, 16.2400945117052
JRuby-BitVector, 2.40212192918317
Python_DEAP_numpy-BitVector, 1.12742594164841
perlsimple-BitString, 0.752409054712897
Dart-BitVector, 0.825390682578678
C++-BitString, 6.60514661204735
lua-BitString, 1.42431603362896
perl-BitString, 0.0274799548577326
Ruby-BitVector, 1.02113428969752
